area_group,journey,journey_yaml,recording_status,recording_path,alias_candidate
auth,a1qa-basic-signin,yes,missing,,
auth,a1qa-sign-out,yes,missing,,
auth,danny-saml-signin-init,yes,missing,,
auth,icarus-oidc-signin,yes,missing,,
auth,library-picker-stateless,yes,missing,,
circulation,palace-bookshelf-anonymous,yes,alias-candidate,,b3-smoke-bookshelf-catalog
circulation,book-return-from-mybooks,yes,missing,,
circulation,read-return-from-mybooks-roundtrip,yes,missing,,
reading,reader2-back-button,yes,missing,,
reading,reader2-bookmark-toggle,yes,missing,,
reading,reader2-page-forward,yes,missing,,
reading,reader2-settings-sheet,yes,missing,,
reading,reader2-toc-navigate,yes,missing,,
reading,PP-4161-streaming-html-reader,yes,present,~/.simdrive/recordings/PP-4161-streaming-html-reader/recording.yaml,
audiobook,audiobook-download-indicator-stateful,yes,missing,,
audiobook,audiobook-scrubber-drag,yes,missing,,
audiobook,audiobook-skip-forward,yes,missing,,
audiobook,audiobook-toc-seek,yes,missing,,
catalog,catalog-browse-stateless,yes,alias-candidate,,b3-smoke-bookshelf-catalog
catalog,search-flow-stateful,yes,alias-candidate,,b3-runtime-search-flow
catalog,feed-refresh-stateless,yes,missing,,
catalog,book-detail-stateless,yes,missing,,
ui-nav,tab-bar-tour,yes,missing,,
ui-nav,settings-tour-stateless,yes,missing,,
